name,description
構造設計・解析,"・製品等の骨組みや土台等の設計・解析を行うことができるスキル。
・具体的には、材料の選定や形状の設計、トポロジ最適化（最も効率の良い材料配置）、ソフトウェアを使用した解析などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、振動環境条件、安全余裕、座屈、静的剛性、動的剛性、圧力、熱、機械的結合部、アラインメント設計（物事や要素を特定の基準や目的に合わせて並べたり調整したりすること）、寸法安定性、疲労、損傷許容性、打撃損傷、軌道上環境による材料劣化、腐食・応力腐食、コンタミネーション防止、メテオロイド及びデブリに対する防護など、多岐にわたる要件を考慮した設計・解析が求められる。"
標準化対応,"・製品・サービス・システムを特定の基準や規格へ準拠（適合）させることができるスキル。
・具体的には、標準規格に基づいた自社規格の設定、現状分析、改善計画の策定、実行・監視などのスキルが該当する。
・特に、宇宙輸送機や人工衛星のコンポーネントの開発において、ISO等の標準規格に基づく開発・製造が求められる。"
機械学習・深層学習（AI）,"・AIアルゴリズムにデータを学習させ、予測や分類を行うことができるスキル。
・具体的には、教師あり学習・教師なし学習・強化学習・ニューラルネットワークモデル活用などのスキルが該当する。
・特に、宇宙分野においては、衛星画像の自動解析や軌道予測、異常検知などへの応用が進んでおり、高度なAI活用が求められる。"
機械的インタフェース設計・解析,"・異なるシステムや要素間が相互に作用する全体システム（構造・機構）として、適切な要件を満たす機械的インタフェース（寸法・荷重・電力・信号・接地等）の設計・解析を行うことができるスキル。
・具体的には、各システムの使用環境や荷重条件、質量特性、寸法等を加味した全体最適化などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、宇宙輸送機と衛星フェアリングとの機械的インタフェース、宇宙輸送機と衛星分離部との機械的インタフェース設計が求められる。"
機械設備管理,"・建物内の環境を維持するための機械的システムや装置の整備・維持・運用を行うことができるスキル。
・具体的には、空調設備や、換気設備、給排水設備、衛生設備、消火設備等の整備・維持・運用などのスキルが該当する。"
機構設計・解析,"・製品等の内部構造や動作メカニズムの設計・解析を行うことができるスキル。
・具体的には、材料選定、部品の配置・形状・動作メカニズムの設計、ソフトウェアを使用した解析などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、精度設計や駆動設計、寿命設計、トライポロジー等の設計・解析が求められる。"
機能性能試験,"・システムやソフトウェアが設計通りの機能・性能を示すか実証することができるスキル。
・特に、宇宙輸送機や人工衛星が、設計した要求通りに機械的・電気的な機能や性能の実証に向けた試験計画策定や試験実施などのスキルが該当する。"
気象予測・判断,"・将来の天気や気象現象の予測を行うことができるスキル。
・具体的には、観測データの収集、モデル計算・解析などのスキルが該当する。
・特に、宇宙輸送機の打上時において、気象予測が打上げを決行するか否かの判断材料となる。"
流体制御設計・解析,"・構造設計や機構設計の段階において、流体の流れを制御するためのシステムや部品の設計・解析を行うことができるスキル。
・具体的には、流体移動の効率化、圧力・温度設計、ソフトウェアを使用した解析などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の液体推進システムの開発においては、液体推進システムの特性（化学性、圧力、温度、清浄度等）を踏まえた設計・解析が求められる。"
清浄度管理（コンタミネーション管理）,"・製造・試験・運用のプロセスにおいて、空気中の微粒子や微生物などの汚染物質を、定められたレベル以下に維持・管理することができるスキル。
・具体的には、クリーンルームの運用、作業者の衛生管理、材料・部品の洗浄・保管、汚染測定・評価などのスキルが該当する。
・特に、宇宙分野においては、機器の性能確保のため、極めて高い清浄度管理が求められる。"
渉外力,"・外部関係者との交渉・調整を円滑に行うことができるスキル。
・具体的には、投資家や海外パートナー、行政機関、地域住民など多様なステークホルダーとの関係構築、政策提言、調達・施設運営に関する交渉・調整などのスキルが該当する。
・特に、宇宙分野においては、射場や工場の設置・運用に関する地元組織との調整や、国際的な枠組み・規制を踏まえた渉外活動において、文化的・制度的背景を理解した上での柔軟かつ戦略的な対応力が求められる。"
測量・読図,"・測量および地図情報の読解に関する知識を有し、業務に活用できるスキル。
・具体的には、座標系・基準点・測位技術、地形図・衛星画像の読解、地図記号・縮尺に関する理解が該当する。
・特に、宇宙分野においては、地上観測や衛星データの位置情報の正確な把握が求められる。"
溶接作業,"・金属材料を、加熱・加圧・加振等により接合することができるスキル。
・業務にあたるうえで技能講習の受講が望ましい。"
無線通信,"・無線通信の原理および通信設計に関する知識を有し、業務に活用できるスキル。
・具体的には、周波数帯・変調方式・アンテナ設計、人工衛星通信プロトコル、地上局との通信リンク設計に関する理解が該当する。
・特に、宇宙分野においては、人工衛星と地上局間の安定した通信リンクの構築が求められる。"
熱試験,・宇宙機システムや搭載機器の実際の使用環境における信頼性・安全性を検証するために、想定される温度環境下での真空試験もしくは温度サイクル試験を設計・実施することができるスキル。
熱／熱制御設計・解析,"・基本設計や詳細設計の段階において、部品やシステム全体の温度管理に関する設計・解析を行うことができるスキル。
・具体的には、材料の熱物性や部品の発熱特性を踏まえ適切な温度を維持できるよう、手計算やソフトウェア解析を用いて設計を行うことができるスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、打上げ環境や軌道上環境における熱的環境条件を加味したうえで、温度条件等の熱設計・解析や熱インタフェース設計・解析が求められる。"
燃焼試験,"・ロケットエンジンや化学スラスタ（推進器）を燃焼させ、圧力・温度・推力を測定し、宇宙輸送機や人工衛星における推進器（スラスタ）の機能・性能の実証を可能にする試験を計画・実施するスキル。
・場合によっては、高圧ガスを扱うため、資格が必要となる。"
生産管理,"・製品の生産活動を計画・調整・監視し、品質・コスト・納期を最適化することができるスキル。
・具体的には、生産計画の立案、資材・設備の手配、進捗管理、在庫管理、品質保証などのスキルが該当する。
・特に、宇宙分野においては、宇宙機の量産化に向けた生産管理の能力が求められる。"
画像処理・解析技術,"・人工衛星から送信される画像データを解析・補正し、意味のある情報の抽出・分類・評価を行うことができるスキル。
・具体的には、放射補正、幾何補正、大気補正、ノイズ除去などの前処理に加え、物体検出、セグメンテーション、分類モデル構築、変化検出などの解析処理などのスキルが該当する。
・特に、宇宙分野においては、リモートセンシング衛星の画像前処理から災害監視、農業モニタリング、都市解析などの応用解析まで、幅広い場面で必要となる。"
知的財産戦略策定,"・事業活動における知的財産の取得・活用・保護に関する戦略を策定することができるスキル。
・具体的には、特許・商標・著作権等の取得方針の策定、技術開発との連携、ライセンス戦略の構築、他社権利との競合回避、知財ポートフォリオの管理などのスキルが該当する。
・特に、宇宙分野においては、国際共同開発や企業間での技術開発、デュアルユース技術の扱いにおいて、知的財産の保護と活用を両立させる戦略策定が求められる。"
知的財産権管理,"・知的財産権の取得判断、申請手続き、侵害監視、活用方法の検討、他者権利との抵触調査を行うことができるスキル。
・具体的には、特許の取得可否判断、申請書類の作成・提出、他社特許の調査、侵害リスクの監視、ライセンス活用などのスキルが該当する。
・特に、宇宙分野においては、新技術・新機構の特許取得や、国際的な知財戦略の策定、共同開発時の権利分配において必要となる。"
社会実装化,"・技術やサービスの社会への展開・定着に向けた活動を行うことができるスキル。
・具体的には、実証実験の設計・実施、関係機関や地域社会との連携、制度・規制への対応、導入支援等のスキルが該当する。
・特に、宇宙分野においては、新たな技術やサービスの社会的意義や活用方法、期待される効果を明確に示し、制度整備や社会受容性の確保とあわせて、ユーザーの理解と活用意欲を高める取り組みが求められる。"
税務,"・税法に基づき、適切な申告・納税・税務対応を行うことができるスキル。
・具体的には、法人税・消費税等の申告業務、税務調査対応、節税策の検討などのスキルが該当する。
・特に、宇宙分野においては、国際取引や研究開発費に関する税務対応、補助金・助成金の税務処理等が求められる。"
空力・風洞試験,"・宇宙機システムや搭載機器の空力特性を評価するために、風洞設備を用いて流体力学的な挙動を再現・測定し、設計検証もしくは製造検証を行うことができるスキル。
・具体的には、風洞内での圧力分布、揚力・抗力、流れの剥離・遷移等の空力現象の計測・解析を含む。"
空力設計・解析,"・構造設計の段階において、空気力学的特性を最適化するための設計・解析を行うことができるスキル。
・具体的には、空気抵抗や揚力（進行方向に対して垂直に力がかかること。浮揚力。）の設計、ソフトウェアを使用した解析などのスキルが該当する。
・特に、宇宙輸送機の開発において、空気設計・解析が求められる。"
管理会計,"・事業活動の収益性やコスト構造を分析し、経営改善に活用するスキル。
・具体的には、部門別損益管理、原価計算、予算策定・実績分析などのスキルが該当する。
・特に、宇宙分野においては、長期開発プロジェクトや研究開発費の管理において、部門別損益や原価構造の把握が重要となる。"
耐圧試験,・圧力が印加される製品（燃焼室・バルブ・スラスタ等）が、設計した圧力に耐えうるのかの実証する試験を計画・実施することができるスキル。
育成・教育,"・組織の目標や人材の成長段階に応じて育成・教育を行うことができるスキル。
・具体的には、育成カリキュラムの設計、OJT・研修の実施、技術継承の仕組み構築、他業界からの転職者への教育対応などのスキルが該当する。
・特に、宇宙分野においては、専門知識の習得支援や、異業種人材の早期戦力化に向けた教育体制の整備が求められる。"
航法設計・解析,"・宇宙輸送機や人工衛星のシステム性能を加味したうえで、効率的な宇宙機の運用目的達成のための航法アルゴリズムの設計・解析を行うことができるスキル。
・具体的には、センサ情報・軌道データを用いた位置・速度の推定、軌道決定、誘導・制御アルゴリズムの設計などのスキルが該当する。
・特に、宇宙分野においては、GNSS（Global Navigation Satellite System：全地球測位衛星システム。GPSもこの一種。）に依存しない航法手法（星センサによる天体観測、地球・月の視野画像を用いた光学航法、慣性航法等）や、深宇宙・月面探査に対応した自律航法設計が求められる。"
艤装設計・解析,"・宇宙輸送機や人工衛星における各種設備の配置や取り付け、配電網の設計等を行うことができるスキル。
・具体的には、設備・部品の選定、機能性能を最大化する配置設計、電気信号や電力の供給設計・解析などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、適用温度や推奨電流等を加味した艤装設計・解析が求められる。"
衛星管制オペレーション,"・衛星運用システムを利用しながら、軌道上の衛星を運用するスキル。
・具体的には、衛星の運用プランを検討するためのシミュレーションツールの利用、ミッションに応じて搭載される機器へのリクエストを実現するためのコンステレーション上でのスケジューリング、衛星へのコマンド送信、衛星からダウンリンクしたミッションデータのデパケタイズ（パケットから元データに復元）、テレメトリデータの可視化などのスキルが該当する。"
衛星運用計画策定,"・基礎的な人工衛星の性質や、人工衛星運用に関するプロセスを理解し、運用体制・手順・スケジュール等を体系的に策定することができるスキル。
・具体的には、運用モードの切り替え手順の設計、定常運用時のコマンド送信計画の作成、通信可視時間に合わせたデータ取得・送信スケジュールの調整、異常発生時のフェイルセーフ対応方針の策定などのスキルが該当する。
・特に宇宙分野では、人工衛星運用の目的や軌道条件に応じた運用設計が人工衛星の性能発揮に直結するため、設計段階からの運用計画策定が重要となる。"
衝撃試験,"・宇宙機システムや搭載機器の実際の使用環境における信頼性・安全性を検証するために、材料や製品に衝撃を与え、耐久性や強度を計測・評価し必要に応じて設計へと反映することができるスキル。
・実際に使用される火工品（分離ボルト等、火薬を用いる機構）を使用した、打ち上げ時における衝撃や搭載機器に関しては落下・ハンマリング等による衝撃再現を含む。"
製品検査,"・製品や部品が設計仕様や品質基準に適合していることを確認するため、寸法・質量・外観・電気的特性などの検査を企画・実施できるスキル。
・具体的には、アッセンブリ・はんだ付け・接着・塗装・ハーネス組付けなどの製造・加工工程後に、測定機器や試験装置を用いて検査を行い、異常の有無を判定する。"
製造工程管理,"・現場の製造工程を計画・監視・改善し、品質・コスト・納期を最適化するスキル。
・具体的には、工程設計、作業手順の標準化、進捗管理、品質保証、リスク対応を遂行するために必要となる、製造プロセスや生産管理の基礎知識、工程設計・改善手法の理解、品質管理・安全管理手法の理解、生産計画ツールや管理システムの活用スキルが該当する。
・特に、宇宙分野においては、宇宙機の量産化に向けた製造工程の設計管理の能力が求められる。"
要件抽出・整理,"・業務やシステムに関する要件の整理・明確化を行うことができるスキル。
・具体的には、ユーザー要求の抽出、機能要件・非機能要件の整理、関係者との合意形成などのスキルが該当する。
・特に、宇宙分野においては、複雑なシステム開発の過程で、多様な関係者と技術的・運用的要件を合意形成する必要がある。"
要求・仕様書作成,"・システムの開発等における要求定義書や仕様書を作成することができるスキル。
・具体的には、ステークホルダー要求の抽出、システム要求への変換に基づいた仕様書の構成・記述、要求管理ツールの活用などのスキルが該当する。
・特に、宇宙分野においては、打上げ・運用制約を踏まえた要求整理や、国際標準に準拠した仕様書作成が求められる。"
計画策定,"・前提となる大上段の戦略に基づき、個別のプロジェクトの推進計画（何を、いつ、だれが、どうするか）の策定を行うことができるスキル。
・特に、宇宙分野においては、多くのステークホルダーを巻き込む長期プロジェクトを推進するための計画策定が求められる。"
設備管理,"・地上設備の安定的な稼働維持に向けて、点検・修理・更新を行うことができるスキル。
・具体的には、整備棟・射点・地上局・搬送設備等の保守計画の策定、異常対応、必要な整備・改修作業などのスキルが該当する。
・必要に応じて電気設備、機械設備などの特定の設備の管理能力に分解される。"
誘導制御系の設計・解析,"・宇宙輸送機や人工衛星が正確に目標の軌道に到達するためのシステムの設計・解析を行うことができるスキル。
・具体的には、センサやアクチュエータの選定・製造、制御アルゴリズムの開発、シミュレーション解析などのスキルが該当する。"
語学力,"・ビジネスシーンにおいて、外国語を使用してコミュニケーションを行うことができるスキル。
・具体的には、外国語による口頭での会話（話す・聞く）、文書の読解・作成（読む・書く）、および会議・交渉・文献調査・契約書対応・国際会議での発表などのスキルが該当する。
・特に、宇宙分野においては、国際的な取引や共同研究、条約・規制の検討、海外顧客・パートナーとの調整など、多様な場面で高度な語学運用スキルが求められる。"
調査・動向把握,"・市場や政策、技術などの動向に関する調査を行うことができるスキル。
・特に、宇宙業界においては、宇宙ミッションの策定や、営業・調達における動向把握が求められる。"
調達マネジメント,"・必要な製品、サービスをプロジェクト外から購入または取得する一連の流れを管理することができるスキル。
・具体的には、調達計画の策定、調達の実施、調達の管理などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、国内外の多様なステークホルダーとの調達調整や、海外調達品を日本政府や研究機関と連携しながら調達を行う仕組みづくりが求められる。"
調達品選定・管理,"・プロジェクトに必要な物品・サービスの選定および管理を行うことができるスキル。
・具体的には、調達対象の仕様整理、ベンダー選定、RFP（提案依頼書）の作成、契約条件の調整、納期・品質・コストの管理などのスキルが該当する。
・特に、宇宙分野においては、信頼性・安全性が求められる部品やサービスの調達において、技術仕様の適合性評価や、厳格な納期・品質管理が求められる。"
財務会計,"・企業活動における財務情報の記録・分析・報告を行う技能。
・具体的には、予算策定、原価管理、決算業務、仕訳、財務諸表の作成、監査対応、税務処理などのスキルが該当する。
・特に、宇宙分野においては、研究開発費の管理、国際共同事業における資金調整、政府助成金の会計処理等の場面で必要となる。"
資料作成・文書化,"・業務に関連する技術的・業務的情報を整理し、関係者に共有可能な形で文書化することができるスキル。
・具体的には、報告書・手順書・マニュアル・提案書・仕様書・議事録等の作成などのスキルが該当する。
・特に、宇宙分野においては、技術仕様や運用手順などの専門的文書を、国内外の関係者に正確かつ明確に伝えるスキルが求められる。"
資源マネジメント,"・プロジェクトの完遂に必要な資源（ヒト、モノ、カネ、情報等）を特定・取得・管理することができるスキル。
・具体的には、資源管理計画の策定、活動資源の見積もり、資源の取得、チームの育成・管理、資源コントロールなどのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、多様な専門性を持った人材のスキルを把握し、必要に応じて人材配置を行うことが求められる。"
資源再生プロセス・技術,"・閉鎖環境下における資源再生プロセスおよびその技術に関する知識を有し、業務に活用できるスキル。
・水・空気・エネルギー等の循環設計、尿・湿気・洗浄水等からの水回収技術、フィルタ・蒸留・電気分解等の処理方式、統合的な資源管理に関する理解が該当する。
・特に宇宙分野では、限られた資源を効率的に循環させるための資源再生システムの構築が求められる。"
資金調達,"・負債や、出資、資産売却、補助金・助成金等を駆使して資本政策の策定・実行を行うことができるスキル。
・具体的には、経営層と連携しながら行う、VC・投資家との交渉、助成金申請、エクイティ・デットファイナンスの計画・実行、さらにプロジェクト単位での予算獲得・コスト管理などのスキルが該当する。
・特に、宇宙分野においては、技術開発や打上げ費用など高額な初期投資に対応するため、VC・政府支援・国際機関との連携による資金調達が重要となる。"
軌道設計・解析,"・宇宙輸送機や人工衛星のシステム性能を加味したうえで、効率的な宇宙機の運用目的達成のための軌道計算・解析を行うことができるスキル。
・具体的には、軌道力学に基づいた打上げ軌道・遷移軌道・運用軌道の設計や、軌道維持・変更に関する解析などのスキルが該当する。
・特に、宇宙分野においては、ミッション要求に応じた軌道選定や、衝突回避・燃料最適化に向けた軌道解析スキルが求められる。"
重機操縦,"・重機（大型機械）の操縦を行うことができるスキル。
・具体的には、フォークリフトやクレーン車等の重機の整備・操縦などのスキルが該当する。
・特に、射場においては、ロケットの輸送に用いるロケット用新型移動発射台運搬台車等の運搬が求められる。"
電子部品静電防止作業,"・宇宙機システムや電子機器の組立・試験において、静電気放電による機器の破壊を防止するために、必要な処置を行うことができるスキル。
・具体的には、静電気対策された作業環境の維持、静電気放電対策（ESD）管理手順の遵守などのスキルが該当する。"
電気コンポーネント（部品）設計・解析,"・宇宙機に搭載される電気系コンポーネント（トランスポンダ、変調器等）の設計・解析を行うことができるスキル。
・具体的には、信号処理・制御回路の設計、シミュレーション、部品選定、EMC対策、実装・試験までを含み、宇宙環境下で高信頼に動作する電気コンポーネントを具現化するスキルが該当する。"
電気推進システム設計・解析,"・人工衛星に用いられるイオンエンジン等の電気推進システムの設計・解析を行うことができるスキル。
・プラズマ物理学や耐熱性・腐食性に関する知識を有していることが望ましい。
※イオンエンジンとは、プラズマを静電加速して推力を得る静電加速型推進器のこと。"
電気的インタフェース設計・解析,"・異なるシステムや要素間が相互的に作用し、全体システムとして適切な要件を満たす動作を行うように設計・解析を行うことができるスキル。
・具体的には電力供給や信号処理等を加味した全体最適化などのスキルが該当する。
・特に、宇宙輸送機や人工衛星の開発においては、電力供給やテレメトリ／コマンド、制御信号、火工品機能、接地、地上支援装置、電気系システムの設計時において、電気的インタフェースの設計が求められる。"
電気設備管理,"・建物内で電力を安全かつ効率的に供給・管理するためのシステムや装置の整備・維持・運用を行うことができるスキル。
・具体的には、配電設備や、非常用電源設備、通信設備、防災設備等の整備・維持・運用などのスキルが該当する。"
電源コンポーネント（パワーエレクトロニクス）設計・解析,"・宇宙機に搭載される電気コンポーネントの中でも、特に電源系コンポーネント（太陽電池パネル、バッテリー、統合化電力制御器等）の設計・解析を行うことができるスキル。
・具体的には、電力変換回路の設計、シミュレーション、部品選定、EMC対策、実装・試験に加え、電力制御アルゴリズムの設計や信頼性解析を通じて、宇宙環境下で高信頼に動作する電源コンポーネントを開発・具現化するスキルが該当する。"
非破壊検査（X線・超音波・浸透探傷）,"・溶接部や接合部の内部欠陥を検出するために、X線、超音波、浸透探傷検査を企画・実施できるスキル。
・溶接作業や接着作業後に実施する。"
飛行安全管理,"・宇宙輸送機の飛行に伴う安全管理を行うことができるスキル。
・具体的には、ロケットや地上系の設備に関して有事を想定したシミュレーションや、打ち上げ当日の気象状況をもとに最終的な飛行経路を算出し、その経路について飛行安全の見地から問題がないか確認するなどのスキルが該当する。"
